Titulo,Preco,TipoLivro,Avaliacao,nAvaliacao,Paginas,Idioma,Editora,Dimensao,Data,Dias
Data Science on Aws: Implementing End-To-End. Continuous AI and Machine Learning Pipelines,393.57,Capa Comum,,,500,Ingles,O'Reilly Media (4 maio 2021),17.78 x 23.34 cm,04/05/2021,-57
Data Science on the Google Cloud Platform: Implementing End-To-End Real-Time Data Pipelines: From Ingest to Machine Learning,426,Capa Comum,4.3,39,400,Ingles,O?Reilly (5 janeiro 2018),17.8 x 2.13 x 23.3 cm,05/01/2018,1158
Data Science Para Leigos,55.9,Capa Comum,3.9,19,384,Portugues,Editora Alta Books; 1ª edição (10 maio 2019),23.8 x 16.8 x 1.8 cm,10/05/2019,668
Data Science Para Negócios,61.9,Capa Comum,4.7,345,404,Portugues,Editora Alta Books; 1ª edição (22 março 2016),23.8 x 17 x 2 cm,22/03/2016,1812
Data Science Para Profissionais. Utilizando R,59.25,Capa Comum,4.1,12,288,Portugues,Ciência Moderna; 1ª edição (31 dezembro 1969),22.61 x 15.75 x 1.27 cm,31/12/1969,18695
Data Science Para Programadores. Um Guia Completo Utilizando a Linguagem Python,51.44,Capa Comum,3.4,4,256,Portugues,Irh Press do Brasil; 1ª edição (1 janeiro 2018),22.4 x 15.2 x 1.6 cm,01/01/2018,1162
Data Science Projects with Python: A case study approach to successful data science projects using Python. pandas. and scikit-learn,313.92,Capa Comum,4.4,61,374,Ingles,Packt Publishing (30 abril 2019),19.05 x 2.16 x 23.5 cm,30/04/2019,678
Data Science with Java: Practical Methods for Scientists and Engineers,317.34,Capa Comum,3.3,6,236,Ingles,O?Reilly; 1ª edição (16 junho 2017),17.8 x 1.26 x 23.3 cm,16/06/2017,1361
Data Science with Julia,426.91,Capa Comum,3.4,7,240,Ingles,Chapman and Hall/CRC; 1ª edição (11 janeiro 2019),13.97 x 1.27 x 20.96 cm,11/01/2019,787
Data Science. Human Science. and Ancient Gods: Conversations in Theory and Method: 3,571.42,Capa dura,,,300,Ingles,Lockwood Press (15 dezembro 2021),15.19 x 22.81 cm,15/12/2021,-282
DATA SCIENCE: 3 Book in 1 - Beginner's Guide to Learn the Realms Of Data Science + Tips and Tricks to Learn The Theories Effectively+ Advanced Method Strategies For Business,171.81,Capa Comum,,,526,Ingles,Joiningthedotstv Limited (10 junho 2020),15.19 x 2.69 x 22.91 cm,10/06/2020,271
Data Science: Best practices mit Python,283.17,Capa dura,,,,Alemao,Springer Vieweg; 1. Aufl. 2021 edição (4 julho 2021),,04/07/2021,-118
Data Science: Create Teams That Ask the Right Questions and Deliver Real Value,447.21,Capa Comum,4,6,276,Ingles,Apress; 1st ed. edição (18 novembro 2016),,18/11/2016,1571
Data Science: The Executive Summary - A Technical Book for Non-Technical Professionals,489.8,Capa dura,,,208,Ingles,Wiley; 1ª edição (18 fevereiro 2021),14.73 x 1.78 x 22.86 cm,18/02/2021,18
Data Sketches: A journey of imagination. exploration. and beautiful data visualizations,280.88,Capa Comum,5,1,428,Ingles,A K Peters/CRC Press; 1ª edição (9 fevereiro 2021),23.5 x 3.81 x 27.31 cm,09/02/2021,27
Data Smart: Usando Data Science Para Transformar Informação em Insight,67.19,Capa Comum,4.3,46,448,Portugues,Editora Alta Books; 1ª edição (19 outubro 2016),24 x 16.8 x 2.2 cm,19/10/2016,1601
Data Strategy: How to Profit from a World of Big Data. Analytics and the Internet of Things,172.13,Capa Comum,4.2,116,200,Ingles,Kogan Page; 1ª edição (3 abril 2017),,03/04/2017,1435
Data Structures & Algorithm Analysis in C++,258.57,Capa Comum,4.3,28,594,Ingles,Dover Publications; Third Edition (14 setembro 2011),17.53 x 3.3 x 25.4 cm,14/09/2011,3463
Data Structures & Algorithms in Kotlin,166.77,Capa Comum,,,,Ingles,Independently Published (16 julho 2020),21.59 x 2.92 x 27.94 cm,16/07/2020,235
Data Structures for Everyone: A Hand-Drawn Guide to Computer Science,177.29,Capa Comum,,,234,Ingles,No Starch Press (2 janeiro 2079),20 x 14 x 4 cm,02/01/1979,15406
Data Teams: A Unified Management Model for Successful Data-Focused Teams,,Capa Comum,4.9,10,320,Ingles,Apress; 1st ed. edição (19 setembro 2020),17.81 x 1.85 x 25.4 cm,19/09/2020,170
Data Technology in Materials Modelling,213.63,Capa Comum,,,104,Ingles,Springer; 1st ed. 2021 edição (12 abril 2021),15.49 x 23.5 cm,12/04/2021,-35
Data Visualisation: A Handbook for Data Driven Design,,Capa Comum,4.4,89,328,Ingles,SAGE Publishing Ltd; 2ª edição (7 agosto 2019),18.9 x 1.96 x 24.6 cm,07/08/2019,579
Data Visualization – A Practical Introduction,218.03,Capa Comum,4.6,124,296,Ingles,Princeton University Press (4 janeiro 2019),,04/01/2019,794
Data Visualization with Excel Dashboards and Reports,189.34,Capa Comum,,,352,Ingles,Wiley; 1ª edição (13 abril 2021),18.54 x 2.03 x 23.11 cm,13/04/2021,-36
Data Visualization: Principles and Practice: Principles and Practice. Second Edition,483.32,Capa dura,3.5,2,617,Ingles,AK Peters; 2ª edição (18 setembro 2014),,18/09/2014,2363
Data Wise: Guia para o Uso de Evidências na Educação,63.74,Capa clássica com blocagem,,,312,Portugues,Penso; 1ª edição (21 agosto 2020),22.8 x 15.6 x 1.8 cm,21/08/2020,199
Database Internals: A Deep Dive Into How Distributed Data Systems Work,263.31,Capa Comum,4.7,169,200,Ingles,O?Reilly (18 outubro 2019),17.53 x 1.78 x 23.37 cm,18/10/2019,507
Database Management Systems,326.99,Capa dura,4,104,1065,Ingles,McGraw-Hill Education; 3ª edição (14 agosto 2002),19.05 x 4.32 x 23.11 cm,14/08/2002,6781
Database Reliability Engineering: Designing and Operating Resilient Database Systems,277.1,Capa Comum,4.6,29,300,Ingles,O?Reilly; 1ª edição (7 novembro 2017),17.8 x 1.57 x 23.3 cm,07/11/2017,1217
Data-Driven Mining. Learning and Analytics for Secured Smart Cities: Trends and Advances,955.89,Capa dura,,,250,Ingles,Springer; 1st ed. 2021 edição (4 junho 2021),15.49 x 23.5 cm,04/06/2021,-88
Data-Driven Science and Engineering: Machine Learning. Dynamical Systems. and Control,459.95,Capa dura,4.7,101,492,Ingles,Cambridge University Press; Illustrated edição (28 fevereiro 2019),18.29 x 2.29 x 26.16 cm,28/02/2019,739
Deep Learning,85.02,Capa Comum,4.5,164,296,Ingles,MIT Press; Illustrated edição (6 setembro 2019),13.03 x 1.88 x 17.93 cm,06/09/2019,549
Deep Learning for Coders with fastai and PyTorch: AI Applications Without a PhD,285.38,Capa Comum,4.8,254,550,Ingles,O?Reilly (31 julho 2020),17.53 x 2.79 x 23.11 cm,31/07/2020,220
Deep Learning for Computer Vision: Expert techniques to train advanced neural networks using TensorFlow and Keras,313.99,Capa Comum,3.5,25,310,Ingles,Packt Publishing (23 janeiro 2018),19.05 x 1.78 x 23.5 cm,23/01/2018,1140
Deep Learning Illustrated: A Visual. Interactive Guide to Artificial Intelligence,311.11,Capa Comum,4.5,114,416,Ingles,Addison-Wesley Professional; 1ª edição (18 setembro 2019),17.78 x 2.41 x 22.99 cm,18/09/2019,537
Deep Learning with Python,227.69,Capa Comum,4.5,761,384,Ingles,Manning Publications; 1ª edição (10 janeiro 2018),,10/01/2018,1153
Deep Learning with R,237.19,Capa Comum,4.6,68,360,Ingles,Manning Publications; 1ª edição (5 abril 2018),,05/04/2018,1068
Deep Learning: A Practitioner's Approach,257.72,Capa Comum,4.4,51,536,Ingles,O?Reilly; 1ª edição (1 setembro 2017),17.78 x 2.72 x 23.34 cm,01/09/2017,1284
Descobrindo a Estatística Usando o SPSS,121.99,Capa Comum,4.8,39,688,Portugues,Penso; 2ª edição (23 março 2009),24.6 x 17.6 x 3.8 cm,23/03/2009,4368
Discovering Statistics Using R,791.92,Capa Comum,4.6,404,957,Ingles,Sage Publications (CA); 1ª edição (5 abril 2012),19.51 x 4.06 x 26.49 cm,05/04/2012,3259
Dive Into Algorithms: A Pythonic Adventure for the Intrepid Beginner,196.9,Capa Comum,,,248,Ingles,No Starch Press (25 janeiro 2021),17.78 x 1.6 x 23.5 cm,25/01/2021,42
Doing Data Science: Straight Talk from the Frontline,,Capa Comum,4.3,111,375,Ingles,O'Reilly Media; 1ª edição (3 novembro 2013),15.24 x 1.98 x 22.86 cm,03/11/2013,2682
Doing Math with Python: Use Programming to Explore Algebra. Statistics. Calculus. and More!,147.51,Capa Comum,4.4,86,272,Ingles,No Starch Press; 1ª edição (25 julho 2015),14 anos e acima,25/07/2015,2053
Effective Data Storytelling: How to Drive Change with Data. Narrative and Visuals,189.14,Capa dura,4.8,87,336,Ingles,Wiley; 1ª edição (23 janeiro 2020),15.75 x 2.29 x 23.37 cm,23/01/2020,410
Enabling Machine Learning Applications in Data Science: Proceedings of Arab Conference for Emerging Technologies 2020,1516.31,Capa dura,,,405,Ingles,Springer; 1st ed. 2021 edição (5 maio 2021),,05/05/2021,-58
End-to-End Data Science with SAS: A Hands-On Programming Guide,325.08,Capa Comum,4.6,3,380,Ingles,SAS Institute (30 junho 2020),19.05 x 2.18 x 23.5 cm,30/06/2020,251
Epidemics: Models and Data using R,420.97,Capa Comum,3.8,8,328,Ingles,Springer; 1st ed. 2018 edição (8 novembro 2018),15.49 x 1.88 x 23.5 cm,08/11/2018,851
Estatística aplicada: Análise Exploratória de Dados,40.99,Capa Comum,4.6,19,160,Portugues,Saraiva Uni; 1ª edição (29 novembro 2012),23.8 x 16.2 x 1.2 cm,29/11/2012,3021
Estatística Prática Para Cientistas de Dados: 50 Conceitos Essenciais,52.9,Capa Comum,4.5,234,392,Portugues,Editora Alta Books (1 julho 2019),23.8 x 16.8 x 1.6 cm,01/07/2019,616
Estatística Sem Matemática para Ciências da Saúde,77.65,Capa Comum,4.7,14,502,Portugues,Penso; 1ª edição (25 janeiro 2017),24.8 x 17.2 x 2 cm,25/01/2017,1503
Estatística: O que é. para que serve. como funciona,54.99,Capa Comum,4.8,355,328,Portugues,Zahar; 1ª edição (10 março 2016),22.8 x 14.8 x 2 cm,10/03/2016,1824
Exam Ref DP-100 Designing and Implementing a Data Science Solution on Azure,308.61,Capa Comum,,,240,Ingles,Microsoft Press; 1ª edição (3 setembro 2020),,03/09/2020,186
Experimentation Works: The Surprising Power of Business Experiments,145.78,Capa dura,4.5,49,288,Ingles,Harvard Business Review Press (18 fevereiro 2020),15.49 x 3.3 x 23.88 cm,18/02/2020,384
Extending the Linear Model with R: Generalized Linear. Mixed Effects and Nonparametric Regression Models. Second Edition: 124,725,Capa dura,4.1,19,,Ingles,Chapman and Hall/CRC; 2ª edição (24 março 2016),,24/03/2016,1810
Feature Engineering and Selection: A Practical Approach for Predictive Models,568.02,Capa dura,4.4,26,310,Ingles,Chapman and Hall/CRC; 1ª edição (2 agosto 2019),19.05 x 1.91 x 25.4 cm,02/08/2019,584
File System Forensic Analysis,424.38,Capa Comum,4.7,118,600,Ingles,Addison-Wesley Professional; 1ª edição (27 março 2005),17.78 x 3.56 x 23.37 cm,27/03/2005,5825
Foundational Python for Data Science,337.34,Capa Comum,,,,Ingles,Addison-Wesley; 1ª edição (28 junho 2021),,28/06/2021,-112
Foundations of Data Science,327.48,Capa dura,4.8,8,432,Ingles,Cambridge University Press (23 janeiro 2020),18.29 x 2.79 x 25.91 cm,23/01/2020,410
Foundations of Deep Reinforcement Learning: Theory and Practice in Python,308.61,Capa Comum,4.5,47,416,Ingles,Addison-Wesley Professional; 1ª edição (5 dezembro 2019),17.6 x 2.4 x 2.3 cm,05/12/2019,459
Fraud Analytics Using Descriptive. Predictive. and Social Network Techniques: A Guide to Data Science for Fraud Detection,189.94,Capa dura,4,39,400,Ingles,Wiley; 1ª edição (9 outubro 2015),15.75 x 3.81 x 23.11 cm,09/10/2015,1977
Fundamentals of Data Visualization: A Primer on Making Informative and Compelling Figures,348.5,Capa Comum,4.5,95,300,Ingles,O?Reilly (23 abril 2019),17.78 x 1.78 x 23.11 cm,23/04/2019,685
Fundamentals of Deep Learning: Designing Next-Generation Machine Intelligence Algorithms,229.43,Capa Comum,3.9,53,304,Ingles,O?Reilly; 1ª edição (7 julho 2017),,07/07/2017,1340
Fundamentals of Machine Learning for Predictive Data Analytics. second edition: Algorithms. Worked Examples. and Case Studies,506.47,Capa dura,4.7,17,856,Ingles,The MIT Press; 2ª edição (20 outubro 2020),19.84 x 3.33 x 24.28 cm,20/10/2020,139
Game Data Science,309.28,Capa Comum,,,384,Ingles,OUP Oxford (10 junho 2021),,10/06/2021,-94
Game Data Science,590.44,Capa dura,,,384,Ingles,OUP Oxford (10 junho 2021),,10/06/2021,-94
GANs in Action: Deep learning with Generative Adversarial Networks,241.42,Capa Comum,4.1,23,276,Ingles,Manning Publications; 1ª edição (28 outubro 2019),18.75 x 1.02 x 23.5 cm,28/10/2019,497
Generalized Linear Models With Examples in R,494.36,Capa dura,4.7,8,584,Ingles,Springer; 1st ed. 2018 edição (11 novembro 2018),15.49 x 3.18 x 23.5 cm,11/11/2018,848
Generative Deep Learning: Teaching Machines to Paint. Write. Compose. and Play,378.44,Capa Comum,4.6,120,300,Ingles,O?Reilly (12 julho 2019),17.8 x 1.75 x 23.3 cm,12/07/2019,605
GeoStatistics by Example: Hands on approach using R,59.9,Capa Comum,3.2,7,42,Ingles,Createspace Independent Publishing Platform; Annotated edição (22 julho 2016),21.59 x 0.25 x 27.94 cm,22/07/2016,1690
Global Seismicity Dynamics and Data-Driven Science: Seismicity Modelling by Big Data Analytics,827.37,Capa dura,,,231,Ingles,Springer; 1st ed. 2021 edição (8 outubro 2020),15.6 x 1.42 x 23.39 cm,08/10/2020,151
Good Charts Workbook: Tips. Tools. and Exercises for Making Better Data Visualizations,168.89,Capa Comum,4.5,29,288,Ingles,Harvard Business Review Press; Workbook edição (22 janeiro 2019),24.13 x 2.54 x 19.05 cm,22/01/2019,776
Good Charts: The HBR Guide to Making Smarter. More Persuasive Data Visualizations,159.48,Capa Comum,4.5,256,264,Ingles,Harvard Business Review Press; Illustrated edição (17 maio 2016),24.13 x 2.29 x 18.8 cm,17/05/2016,1756
Grokking Algorithms: An illustrated guide for programmers and other curious people,225.01,Capa Comum,4.7,430,300,Ingles,Manning Publications; 1ª edição (31 dezembro 2015),18.75 x 1.02 x 23.5 cm,31/12/2015,1894
Hadoop: The Definitive Guide: Storage and Analysis at Internet Scale,333.17,Capa Comum,4.5,188,756,Ingles,O'Reilly Media; 4ª edição (11 abril 2015),17.53 x 4.06 x 23.37 cm,11/04/2015,2158
Hands On Google Cloud SQL and Cloud Spanner: Deployment. Administration and Use Cases with Python,223.24,Capa Comum,4,1,348,Ingles,Apress; 1st ed. edição (19 dezembro 2019),17.81 x 2.01 x 25.4 cm,19/12/2019,445
Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,352.13,Capa Comum,4.3,29,464,Ingles,Packt Publishing (29 março 2019),19.05 x 2.67 x 23.5 cm,29/03/2019,710
Hands-On Data Visualization: Interactive Storytelling from Spreadsheets to Code,354.41,Capa Comum,,,501,Ingles,O'Reilly Media (4 maio 2021),17.78 x 23.34 cm,04/05/2021,-57
Hands-On Machine Learning with Microsoft Excel 2019: Build complete data analysis flows. from data collection to visualization,316.31,Capa Comum,4.3,19,254,Ingles,Packt Publishing (30 abril 2019),19.05 x 1.47 x 23.5 cm,30/04/2019,678
Hands–On Machine Learning with Scikit–Learn and TensorFlow 2e: Concepts. Tools. and Techniques to Build Intelligent Systems,340.07,Capa Comum,4.8,1710,600,Ingles,O?Reilly; 2nd ed. edição (14 outubro 2019),17.78 x 3.05 x 23.37 cm,14/10/2019,511
Hands-On Programming with R: Write Your Own Functions and Simulations,223.46,Capa Comum,4.5,167,230,Ingles,O'Reilly Media; 1ª edição (2 agosto 2014),17.78 x 1.45 x 23.34 cm,02/08/2014,2410
Hands–On Unsupervised Learning Using Python: How to Build Applied Machine Learning Solutions from Unlabeled Data,353.68,Capa Comum,4.1,58,400,Ingles,O?Reilly (15 março 2019),17.8 x 1.91 x 23.3 cm,15/03/2019,724
HBR Guide to Data Analytics Basics for Managers (HBR Guide Series),96.27,Capa Comum,4.4,181,256,Ingles,Harvard Business Review Press; Illustrated edição (3 abril 2018),12.7 x 1.91 x 22.86 cm,03/04/2018,1070
Heard In Data Science Interviews: Over 650 Most Commonly Asked Interview Questions & Answers,167.75,Capa Comum,3.3,34,242,Ingles,Createspace Independent Publishing Platform (3 outubro 2018),15.24 x 1.4 x 22.86 cm,03/10/2018,887
High-Dimensional Probability: An Introduction with Applications in Data Science: 47,457.23,Capa dura,4.8,30,296,Ingles,Cambridge University Press (27 setembro 2018),18.29 x 2.29 x 25.91 cm,27/09/2018,893
High-Dimensional Statistics: A Non-Asymptotic Viewpoint: 48,518.54,Capa dura,4.7,22,568,Ingles,Cambridge University Press (21 fevereiro 2019),18.29 x 3.56 x 25.91 cm,21/02/2019,746
Higher Education Policy Analysis Using Quantitative Techniques: Data. Methods and Presentation,1123.24,Capa dura,,,186,Ingles,Springer; 1st ed. 2020 edição (22 janeiro 2021),,22/01/2021,45
How Baking Works: Exploring the Fundamentals of Baking Science,266.09,Capa Comum,4.7,359,528,Ingles,Wiley; 3ª edição (5 novembro 2010),21.34 x 2.79 x 27.18 cm,05/11/2010,3776
How to Design Programs – An Introduction to Programming and Computing 2e,469.12,Capa Comum,4.5,35,792,Ingles,MIT Press; second edition (25 maio 2018),22.61 x 20.32 x 3.81 cm,25/05/2018,1018
How to Lie with Statistics,66.05,Capa Comum,4.5,1402,144,Ingles,W. W. Norton & Company; Illustrated edição (17 outubro 1993),13.97 x 1.02 x 21.08 cm,17/10/1993,10004
How to Measure Anything in Cybersecurity Risk,322.61,Capa dura,4.5,148,304,Ingles,Wiley; 1ª edição (23 setembro 2016),,23/09/2016,1627
How to Speak Machine: Computational Thinking for the Rest of Us,127.37,Capa dura,4.5,74,240,Ingles,Portfolio; Illustrated edição (19 novembro 2019),14.35 x 2.31 x 21.62 cm,19/11/2019,475
Humanizing Big Data: Marketing at the Meeting of Data. Social Science and Consumer Insight,90.04,Capa Comum,4.7,4,224,Ingles,Kogan Page; 1ª edição (3 março 2015),,03/03/2015,2197
Hunting Cyber Criminals: A Hacker's Guide to Online Intelligence Gathering Tools and Techniques,181.68,Capa Comum,4.7,106,544,Ingles,Wiley; 1ª edição (19 março 2020),18.54 x 3.05 x 22.86 cm,19/03/2020,354
I Heart Logs: Event Data. Stream Processing. and Data Integration,85,Capa Comum,3.6,27,60,Ingles,O'Reilly Media; 1ª edição (17 outubro 2014),17.78 x 0.36 x 23.34 cm,17/10/2014,2334
Industry 4.0. AI. and Data Science: Research Trends and Challenges,840.35,Capa dura,,,288,Ingles,CRC Press; 1ª edição (21 julho 2021),,21/07/2021,-135
Insights from Data with R: An Introduction for the Life and Environmental Sciences,207.78,Capa Comum,,,320,Ingles,OUP Oxford (25 fevereiro 2021),16.8 x 1.5 x 24 cm,25/02/2021,11
Interactive Data Visualization: Foundations. Techniques. and Applications. Second Edition,311.26,Capa Comum,5,1,578,Ingles,A K Peters/CRC Press; 2ª edição (31 março 2021),,31/03/2021,-23
Interactive Graphics for Data Analysis: Principles and Examples: 14,543.2,Capa dura,,,296,Ingles,Chapman and Hall/CRC; 1ª edição (24 outubro 2008),15.49 x 1.78 x 23.37 cm,24/10/2008,4518
Interactive Web-Based Data Visualization with R. plotly. and shiny,566.22,Capa Comum,4.9,10,470,Ingles,Chapman and Hall/CRC; 1ª edição (21 janeiro 2020),15.88 x 2.54 x 22.86 cm,21/01/2020,412
Intro to Python for Computer Science and Data Science: Learning to Program with AI. Big Data and The Cloud,514.91,Capa Comum,4.7,139,880,Ingles,Pearson; 1ª edição (15 fevereiro 2019),15 x 5 x 23 cm,15/02/2019,752
Introdução à Ciência de Dados,48.89,Capa Comum,4.4,60,320,Portugues,Editora Alta Books; 1ª edição (26 agosto 2016),23.8 x 16.6 x 1.6 cm,26/08/2016,1655
Introdução à Mineração de Dados - Com Aplicações em R: com Aplicações em RL,83.02,Capa Comum,4.4,77,296,Portugues,GEN LTC; 1ª edição (16 junho 2016),,16/06/2016,1726
Introdução à Programação com Python: Algoritmos e Lógica de Programação Para Iniciantes,45.7,Capa Comum,4.8,427,328,Portugues,Novatec Editora; 3ª edição (8 janeiro 2019),23.4 x 17.2 x 2 cm,08/01/2019,790
Introdução a Sistemas de Bancos de Dados,353.12,Capa Comum,4.6,20,896,Portugues,GEN LTC; 1ª edição (14 abril 2004),28 x 21 x 4.8 cm,14/04/2004,6172
Introducing Data Science: Big Data. Machine Learning. and more. using Python tools,334.00,Capa Comum,4.1,27,325,Ingles,Manning Publications; 1ª edição (31 janeiro 2016),,31/01/2016,1863
Introducing Python. 2e: Modern Computing in Simple Packages,252.37,Capa Comum,4.7,158,500,Ingles,O?Reilly; 2nd ed. edição (22 novembro 2019),17.81 x 3.23 x 23.29 cm,22/11/2019,472
Introduction to Algorithmic Marketing: Artificial Intelligence for Marketing Operations,145.65,Capa Comum,4.5,32,508,Ingles,Ilia Katcov (1 dezembro 2017),15.19 x 2.59 x 22.91 cm,01/12/2017,1193
Introduction to Algorithms,504.57,Capa dura,4.5,1117,1292,Ingles,MIT Press (MA); third edition (1 setembro 2009),,01/09/2009,4206
Introduction to Computation and Programming Using Python – with Application to Understanding Data 2e,419.64,Capa Comum,4.7,355,472,Ingles,MIT Press; second edition (16 setembro 2016),17.78 x 2.13 x 22.71 cm,16/09/2016,1634
Introduction to Computation and Programming Using Python. third edition: With Application to Computational Modeling and Understanding Data,565.98,Capa Comum,4.7,12,496,Ingles,The MIT Press; 3ª edição (5 janeiro 2021),17.78 x 3.35 x 23.01 cm,05/01/2021,62
Introduction to Data Mining,1289.56,Capa dura,3.5,37,864,Ingles,Pearson; 2ª edição (4 janeiro 2018),23.37 x 19.05 x 3.3 cm,04/01/2018,1159
Introduction to Data Science for Social and Policy Research: Collecting and Organizing Data with R and Python,204.31,Capa Comum,,,314,Ingles,Cambridge University Press (21 setembro 2017),15.24 x 1.78 x 22.86 cm,21/09/2017,1264
Introduction to Data Science: A Python Approach to Concepts. Techniques and Applications,279.59,Capa Comum,3.5,9,218,Ingles,KDPPR; 1st ed. 2017 edição (4 março 2017),15.49 x 1.35 x 23.5 cm,04/03/2017,1465
Introduction to Data Visualization & Storytelling: A Guide For The Data Scientist,77.7,Capa Comum,4.1,58,168,Ingles,Independently Published (28 julho 2019),12.7 x 0.97 x 20.32 cm,28/07/2019,589
Introduction to Machine Learning,540.87,Capa dura,4.7,28,712,Ingles,MIT Press; fourth edition (27 março 2020),,27/03/2020,346
Introduction to Machine Learning with Python: A Guide for Data Scientists,326.55,Capa Comum,4.5,314,392,Ingles,O?Reilly; 1ª edição (7 outubro 2016),17.78 x 2.08 x 23.34 cm,07/10/2016,1613
Introduction to Meta-Analysis,435.59,Capa dura,4.7,77,421,Ingles,John Wiley & Sons; 1ª edição (1 abril 2009),17.91 x 3.05 x 25.4 cm,01/04/2009,4359
Introduction to Numerical Methods for Variational Problems: 21,424.62,Capa dura,5,1,412,Ingles,Springer; 1st ed. 2019 edição (15 outubro 2019),15.49 x 2.39 x 23.5 cm,15/10/2019,510
Introduction to Statistics and Data Analysis: With Exercises. Solutions and Applications in R,444.16,Capa Comum,5,4,472,Ingles,Springer; Softcover reprint of the original 1st ed. 2016 edição (1 setembro 2018),15.49 x 2.72 x 23.5 cm,01/09/2018,919
Joe Celko’s Complete Guide to NoSQL: What Every SQL Professional Needs to Know about Non-Relational Databases,346.97,Capa Comum,2.2,3,244,Ingles,Morgan Kaufmann; 1ª edição (31 outubro 2013),19.05 x 1.4 x 23.5 cm,31/10/2013,2685
Julia for Data Science,251.86,Capa Comum,3.9,9,368,Ingles,Technics Publications (30 setembro 2016),19.05 x 2.11 x 23.5 cm,30/09/2016,1620
Learn Functional Programming with Elixir: New Foundations for a New World,205.4,Capa Comum,4.6,14,198,Ingles,O?Reilly (16 março 2018),,16/03/2018,1088
Learning Elasticsearch 7.x: Index. Analyze. Search and Aggregate Your Data Using Elasticsearch (English Edition),165.32,Capa Comum,,,310,Ingles,Bpb Publications (3 dezembro 2020),19.05 x 1.78 x 23.5 cm,03/12/2020,95
Learning R: A Step-By-Step Function Guide to Data Analysis,264,Capa Comum,4.4,90,400,Ingles,O'Reilly Media; 1ª edição (26 setembro 2013),17.78 x 2.08 x 23.34 cm,26/09/2013,2720
Learning Tableau 2020 - Fourth Edition: Create effective data visualizations. build interactive visual analytics. and transform your organization,234.09,Capa Comum,4.7,39,576,Ingles,Packt Publishing; 4ª edição (28 agosto 2020),19.05 x 3.3 x 23.5 cm,28/08/2020,192
Leveraging Data Science for Global Health,337.61,Capa dura,4.5,2,488,Ingles,Springer; 1st ed. 2020 edição (1 agosto 2020),15.6 x 2.69 x 23.39 cm,01/08/2020,219
Life 3.0: Being Human in the Age of Artificial Intelligence,82.9,Capa Comum,4.5,1645,384,Ingles,Vintage; Illustrated edição (31 julho 2018),15.49 x 2.01 x 23.34 cm,31/07/2018,951
M Is for (Data) Monkey: A Guide to the M Language in Excel Power Query,137.52,Capa Comum,4.5,360,,Ingles,Holy Macro! Books (1 dezembro 2015),,01/12/2015,1924
Machine Learning – Guia de Referência Rápida: Trabalhando com Dados Estruturados em Python,52.34,Capa Comum,4.8,53,272,Portugues,Novatec Editora; 1ª edição (11 dezembro 2019),20.8 x 13.6 x 1.4 cm,11/12/2019,453
Machine Learning and Data Science in the Oil and Gas Industry: Best Practices. Tools. and Case Studies,1277.61,Capa Comum,,,306,Ingles,Gulf Professional Publishing; 1ª edição (15 março 2021),15.24 x 1.55 x 22.86 cm,15/03/2021,-7
Machine Learning and Data Science: Fundamentals and Applications,1222.13,Capa dura,,,350,Ingles,Wiley-Scrivener; 1ª edição (15 julho 2021),,15/07/2021,-129
Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation. Model Building. and Mlops,295.81,Capa Comum,4.6,55,408,Ingles,O'Reilly Media (10 novembro 2020),17.78 x 2.54 x 23.5 cm,10/11/2020,118
Machine Learning Engineering,231.67,Capa Comum,4.7,100,310,Ingles,True Positive Inc. (8 setembro 2020),19.05 x 1.85 x 23.5 cm,08/09/2020,181
Machine Learning for Algorithmic Trading - Second Edition: Predictive models to extract signals from market and alternative data for systematic trading strategies with Python. 2nd Edition,466.81,Capa Comum,4.4,70,820,Ingles,Packt Publishing; 2ª edição (31 julho 2020),19.05 x 4.7 x 23.5 cm,31/07/2020,220
Machine Learning for Algorithmic Trading: Master as a pro applied artificial intelligence and Python to predict systematic strategies for options and stock. Learn data-driven finance using Keras,126.79,Capa Comum,,,,Ingles,Independently Published (22 novembro 2020),15.24 x 2.44 x 22.86 cm,22/11/2020,106
Machine Learning For Dummies,142.01,Capa Comum,4.3,273,432,Ingles,For Dummies; 1ª edição (19 julho 2016),18.03 x 2.29 x 22.86 cm,19/07/2016,1693
Machine Learning in Action,290.54,Capa Comum,3.7,29,384,Ingles,Manning Publications; 1ª edição (19 abril 2012),,19/04/2012,3245
Machine Learning in Business: An Introduction to the World of Data Science,219.7,Capa Comum,4.5,19,276,Ingles,Independently Published (8 maio 2020),15.24 x 1.57 x 22.86 cm,08/05/2020,304
Machine Learning in Finance: From Theory to Practice,637.28,Capa dura,4.5,50,576,Ingles,Springer; 1st ed. 2020 edição (2 julho 2020),15.6 x 3.18 x 23.39 cm,02/07/2020,249
Machine Learning in Production: Developing and Optimizing Data Science Workflows and Applications,229.41,Capa Comum,2.6,3,288,Ingles,Addison-Wesley Professional; 1ª edição (8 maio 2019),22.86 x 17.78 x 1.27 cm,08/05/2019,670
